Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
D1,18/08/17,Bayern Munich,Leverkusen,3,1,H,2,0,13,19,8,4,13,17,4,5,1,2,0,0,1.25,6.0,12.0,1.22,6.25,13.5,1.3,6.0,8.5,1.25,6.0,11.0
D1,19/08/17,Hamburg,Augsburg,1,0,H,1,0,11,13,5,1,18,16,3,7,4,3,0,0,2.1,3.4,3.6,2.15,3.3,3.6,2.1,3.4,3.5,2.2,3.2,3.4
D1,19/08/17,Hertha,Stuttgart,2,0,H,0,0,10,9,3,2,18,12,5,1,2,1,0,0,2.0,3.4,3.9,2.05,3.5,3.6,2.0,3.4,3.8,2.1,3.4,3.5
D1,19/08/17,Hoffenheim,Werder Bremen,1,0,H,0,0,14,11,3,2,17,15,6,4,1,3,0,0,1.75,4.0,4.33,1.75,4.0,4.4,1.8,3.7,4.3,1.83,3.75,4.0
D1,19/08/17,Mainz,Hannover,0,1,A,0,0,14,6,6,2,18,14,13,1,3,5,0,0,2.0,3.4,4.0,2.0,3.4,3.9,2.1,3.4,3.5,2.0,3.25,4.0
D1,19/08/17,Schalke 04,RB Leipzig,2,0,H,1,0,11,12,5,3,22,18,4,5,2,2,0,0,2.8,3.4,2.5,2.8,3.3,2.55,2.6,3.3,2.7,2.75,3.25,2.6
D1,19/08/17,Wolfsburg,Dortmund,0,3,A,0,2,9,13,0,5,7,15,3,5,0,0,0,0,3.8,4.0,1.85,4.1,3.9,1.83,4.1,3.7,1.85,4.0,3.75,1.83
D1,20/08/17,Freiburg,Ein Frankfurt,0,0,D,0,0,7,15,1,2,8,17,3,7,1,2,0,0,2.45,3.25,3.0,2.5,3.2,3.0,2.4,3.4,2.9,2.5,3.2,2.9
D1,20/08/17,M'gladbach,FC Koln,1,0,H,0,0,22,13,8,2,12,11,5,3,3,2,0,0,1.91,3.5,4.1,1.95,3.5,3.9,2.1,3.4,3.5,1.95,3.5,3.8
D1,25/08/17,FC Koln,Hamburg,1,3,A,0,2,20,12,6,4,9,9,6,7,2,2,0,1,1.95,3.4,4.0,2.0,3.3,4.1,1.9,3.5,4.1,2.0,3.25,4.0
D1,26/08/17,Augsburg,M'gladbach,2,2,D,1,2,24,15,9,3,13,12,10,0,2,2,0,0,3.25,3.4,2.25,3.3,3.3,2.25,3.15,3.3,2.3,3.3,3.2,2.25
D1,26/08/17,Dortmund,Hertha,2,0,H,1,0,18,7,8,4,12,9,4,4,1,1,0,0,1.36,5.0,7.5,1.36,5.0,8.75,1.35,5.3,8.0,1.4,4.5,8.0
D1,26/08/17,Ein Frankfurt,Wolfsburg,0,1,A,0,1,12,7,6,3,18,19,7,2,3,1,0,0,2.3,3.25,3.3,2.3,3.3,3.2,2.3,3.3,3.15,2.3,3.2,3.2
D1,26/08/17,Leverkusen,Hoffenheim,2,2,D,1,0,16,6,3,4,16,11,6,1,2,2,0,0,2.05,3.6,3.6,2.05,3.6,3.5,2.2,3.4,3.25,2.1,3.4,3.4
D1,26/08/17,Stuttgart,Mainz,1,0,H,0,0,17,13,4,6,12,18,5,6,2,1,0,0,2.3,3.4,3.1,2.3,3.4,3.1,2.3,3.3,3.15,2.3,3.2,3.2
D1,26/08/17,Werder Bremen,Bayern Munich,0,2,A,0,0,4,19,1,8,9,10,2,8,1,1,0,0,11.0,6.5,1.25,11.0,7.0,1.22,9.0,6.5,1.27,12.0,5.5,1.25
D1,27/08/17,Hannover,Schalke 04,1,0,H,0,0,11,8,3,1,17,17,2,6,1,2,0,0,3.3,3.4,2.2,3.3,3.6,2.15,3.25,3.4,2.2,3.3,3.3,2.2
D1,27/08/17,RB Leipzig,Freiburg,4,1,H,0,1,29,7,11,2,11,13,8,2,2,0,0,1,1.36,5.0,8.5,1.35,5.0,9.0,1.45,4.5,7.0,1.36,4.8,8.5
D1,08/09/17,Hamburg,RB Leipzig,0,2,A,0,0,9,19,2,4,14,11,4,14,1,1,0,0,4.0,3.6,1.91,4.0,3.6,1.91,4.1,3.5,1.9,3.8,3.5,1.95
D1,09/09/17,Augsburg,FC Koln,3,0,H,2,0,10,13,4,3,15,13,6,9,0,0,0,0,2.38,3.3,3.1,2.45,3.4,2.9,2.5,3.2,2.95,2.4,3.25,3.0
D1,09/09/17,Freiburg,Dortmund,0,0,D,0,0,5,27,2,3,10,11,0,7,0,0,1,0,7.5,5.0,1.4,7.5,5.0,1.4,6.5,4.2,1.5,7.0,5.0,1.4
D1,09/09/17,Hoffenheim,Bayern Munich,2,0,H,1,0,6,23,3,6,15,9,2,4,3,1,0,0,7.0,4.5,1.45,6.75,4.75,1.44,7.0,4.5,1.45,7.0,4.5,1.44
D1,09/09/17,Mainz,Leverkusen,3,1,H,1,1,14,13,5,2,16,15,1,3,2,2,0,0,3.0,3.4,2.38,2.95,3.4,2.4,2.65,3.3,2.65,2.88,3.4,2.4
D1,09/09/17,M'gladbach,Ein Frankfurt,0,1,A,0,1,15,12,3,6,17,17,13,5,3,2,0,0,1.83,3.6,4.5,1.85,3.6,4.25,1.85,3.5,4.3,1.85,3.5,4.33
D1,09/09/17,Wolfsburg,Hannover,1,1,D,0,0,17,7,6,2,13,20,3,1,0,1,0,0,1.83,3.6,4.5,1.85,3.5,4.4,2.0,3.4,3.8,1.85,3.5,4.33
D1,10/09/17,Hertha,Werder Bremen,1,1,D,1,0,8,10,4,5,9,12,5,7,1,0,0,0,1.91,3.6,4.0,1.95,3.5,4.0,2.0,3.4,3.8,1.95,3.5,3.8
D1,10/09/17,Schalke 04,Stuttgart,3,1,H,1,1,12,11,4,2,15,19,2,1,1,1,0,0,1.7,3.75,5.0,1.75,3.8,4.75,1.8,3.6,4.5,1.7,3.75,4.8
D1,15/09/17,Hannover,Hamburg,2,0,H,0,0,17,12,4,3,17,16,4,7,1,0,0,0,1.95,3.5,4.0,1.95,3.5,4.0,2.2,3.3,3.35,2.0,3.4,3.8
D1,16/09/17,Bayern Munich,Mainz,4,0,H,2,0,28,11,14,4,9,5,10,5,2,2,0,0,1.13,10.0,19.0,1.12,9.5,18.5,1.15,7.5,18.0,1.12,8.0,21.0
D1,16/09/17,Ein Frankfurt,Augsburg,1,2,A,0,1,23,11,8,3,13,13,4,4,2,3,0,0,1.85,3.5,4.5,1.87,3.4,4.5,1.85,3.5,4.3,1.85,3.4,4.33
D1,16/09/17,RB Leipzig,M'gladbach,2,2,D,2,1,10,10,3,3,13,12,3,2,1,1,1,0,1.67,3.8,5.5,1.65,4.1,5.0,1.7,3.7,5.0,1.67,3.8,5.0
D1,16/09/17,Stuttgart,Wolfsburg,1,0,H,1,0,8,8,4,1,14,19,2,3,2,3,0,0,2.3,3.5,3.0,2.45,3.5,2.8,2.4,3.3,2.95,2.4,3.3,2.9
D1,16/09/17,Werder Bremen,Schalke 04,1,2,A,1,1,16,11,2,4,15,17,6,5,2,2,0,0,2.8,3.5,2.5,2.7,3.4,2.6,2.7,3.3,2.6,2.62,3.3,2.62
D1,17/09/17,Dortmund,FC Koln,5,0,H,2,0,22,6,8,2,11,12,8,5,0,3,0,0,1.22,6.0,13.0,1.26,5.75,12.0,1.27,6.5,9.0,1.25,5.5,12.0
D1,17/09/17,Hoffenheim,Hertha,1,1,D,1,0,8,9,2,4,15,20,5,2,2,2,0,0,1.67,3.8,5.5,1.72,3.9,4.75,1.75,3.6,4.8,1.7,3.75,4.8
D1,17/09/17,Leverkusen,Freiburg,4,0,H,3,0,22,4,9,1,4,13,5,4,0,2,0,0,1.45,4.5,7.0,1.45,4.6,7.0,1.55,4.0,6.2,1.44,4.5,7.0
D1,19/09/17,Augsburg,RB Leipzig,1,0,H,1,0,11,14,4,3,15,17,3,2,2,2,0,0,3.5,3.5,2.1,3.5,3.5,2.1,3.3,3.35,2.2,3.6,3.4,2.05
D1,19/09/17,M'gladbach,Stuttgart,2,0,H,0,0,9,11,3,4,9,8,4,1,0,1,0,0,1.7,3.8,5.0,1.65,3.9,5.25,1.7,3.7,5.0,1.67,4.0,4.75
D1,19/09/17,Schalke 04,Bayern Munich,0,3,A,0,2,11,12,4,8,13,11,2,6,1,1,0,0,7.0,4.75,1.44,6.75,4.75,1.45,7.0,4.5,1.45,7.0,4.5,1.44
D1,19/09/17,Wolfsburg,Werder Bremen,1,1,D,1,0,13,11,4,4,10,18,3,4,1,2,0,0,2.05,3.5,3.6,2.0,3.6,3.7,2.1,3.4,3.5,2.0,3.5,3.6
D1,20/09/17,FC Koln,Ein Frankfurt,0,1,A,0,1,17,8,8,4,20,20,4,5,2,1,0,0,2.88,3.1,2.63,2.75,3.2,2.65,2.6,3.3,2.7,2.8,3.1,2.62
D1,20/09/17,Freiburg,Hannover,1,1,D,0,0,23,14,5,3,17,19,5,3,2,4,0,0,2.8,3.25,2.6,2.7,3.2,2.7,2.6,3.3,2.7,2.62,3.25,2.7
D1,20/09/17,Hamburg,Dortmund,0,3,A,0,1,6,17,2,7,15,14,4,3,3,0,0,0,7.0,4.75,1.44,7.25,5.0,1.4,6.5,4.2,1.5,7.0,4.5,1.44
D1,20/09/17,Hertha,Leverkusen,2,1,H,2,0,5,12,3,5,12,25,3,6,1,2,0,0,3.3,3.4,2.2,3.2,3.4,2.25,2.95,3.3,2.4,3.1,3.4,2.25
D1,20/09/17,Mainz,Hoffenheim,2,3,A,2,2,20,18,6,6,9,13,5,11,3,3,0,0,2.7,3.4,2.6,2.65,3.5,2.6,2.85,3.3,2.5,2.62,3.4,2.6
D1,22/09/17,Bayern Munich,Wolfsburg,2,2,D,2,0,19,8,3,3,9,11,7,3,1,2,0,0,1.14,8.5,19.0,1.14,9.0,17.0,1.15,7.5,18.0,1.12,8.5,17.0
D1,23/09/17,Dortmund,M'gladbach,6,1,H,3,0,18,8,9,5,2,6,7,0,0,1,0,0,1.44,4.75,7.0,1.42,4.75,7.25,1.45,4.5,7.0,1.44,4.5,7.0
D1,23/09/17,Hoffenheim,Schalke 04,2,0,H,1,0,12,17,6,3,16,15,0,5,3,2,0,0,2.2,3.5,3.25,2.2,3.5,3.2,2.2,3.35,3.3,2.2,3.25,3.25
D1,23/09/17,Mainz,Hertha,1,0,H,0,0,8,4,3,1,22,22,4,1,3,3,0,1,2.2,3.3,3.4,2.2,3.3,3.4,2.5,3.3,2.85,2.2,3.2,3.4
D1,23/09/17,RB Leipzig,Ein Frankfurt,2,1,H,1,0,17,9,5,3,9,16,2,4,1,2,0,0,1.7,3.8,5.0,1.65,4.0,5.25,1.65,3.8,5.3,1.7,3.75,5.0
