Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
SP1,16/08/2019,Ath Bilbao,Barcelona,1,0,H,0,0,11,11,5,2,14,9,3,8,1,1,0,0,5.25,3.8,1.65,5.5,3.8,1.65,5.0,3.8,1.7,5.0,3.8,1.7
SP1,17/08/2019,Celta,Real Madrid,1,3,A,0,1,7,17,4,11,17,12,6,4,5,2,0,1,4.75,4.2,1.65,4.4,4.2,1.72,5.3,4.2,1.6,5.25,4.2,1.6
SP1,17/08/2019,Valencia,Sociedad,1,1,D,0,0,14,12,6,3,13,14,3,3,4,4,1,0,1.66,3.75,5.5,1.67,3.75,5.5,1.67,3.75,5.3,1.67,3.8,5.25
SP1,17/08/2019,Mallorca,Eibar,2,1,H,1,0,16,11,4,5,13,14,9,3,2,3,0,0,2.8,3.2,2.6,2.95,3.1,2.6,2.9,3.1,2.6,2.9,3.1,2.62
SP1,17/08/2019,Leganes,Osasuna,0,1,A,0,0,13,4,2,2,17,11,8,0,1,4,1,0,2.0,3.2,4.2,2.05,3.25,3.9,2.05,3.1,4.05,2.05,3.2,4.0
SP1,17/08/2019,Villarreal,Granada,4,4,D,1,1,12,14,7,7,10,16,2,7,3,1,0,0,1.6,3.8,6.5,1.6,3.8,6.25,1.63,4.0,5.5,1.6,3.9,5.8
SP1,18/08/2019,Alaves,Levante,1,0,H,0,0,9,16,2,4,18,15,2,9,2,1,0,0,2.15,3.2,3.6,2.15,3.3,3.6,2.2,3.25,3.4,2.25,3.3,3.3
SP1,18/08/2019,Espanol,Sevilla,0,2,A,0,1,7,12,2,4,11,17,8,4,2,2,0,0,3.2,3.3,2.3,3.1,3.4,2.3,3.1,3.4,2.3,3.0,3.5,2.3
SP1,18/08/2019,Betis,Valladolid,1,2,A,0,0,13,14,4,3,11,19,6,1,2,6,1,0,1.66,3.75,5.5,1.65,3.75,5.75,1.63,3.75,5.7,1.62,3.75,6.0
SP1,18/08/2019,Ath Madrid,Getafe,1,0,H,1,0,5,6,5,0,19,22,3,4,3,4,1,1,1.44,4.33,8.0,1.45,4.33,7.5,1.45,4.4,7.2,1.47,4.2,8.0
