Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
F1,06/08/11,Ajaccio,Toulouse,0,2,A,0,1,18,13,6,8,14.0,17.0,11,4,4,2,0,0,2.63,3.0,2.88,2.6,2.95,2.8,2.5,3.0,2.7,2.6,3.0,2.88
F1,06/08/11,Brest,Evian Thonon Gaillard,2,2,D,2,2,23,9,7,3,12.0,15.0,11,8,2,2,0,0,2.3,3.0,3.4,2.15,3.1,3.4,2.1,3.1,3.3,2.3,3.0,3.4
F1,06/08/11,Caen,Valenciennes,1,0,H,1,0,11,11,3,6,12.0,11.0,3,11,2,1,0,0,2.3,3.0,3.4,2.25,3.0,3.3,2.1,3.0,3.4,2.38,3.0,3.2
F1,06/08/11,Marseille,Sochaux,2,2,D,1,0,27,8,8,3,15.0,13.0,4,5,1,3,0,0,1.53,3.8,6.75,1.5,3.9,6.25,1.45,3.9,6.5,1.57,4.0,5.5
F1,06/08/11,Montpellier,Auxerre,3,1,H,1,1,13,18,4,8,16.0,22.0,4,5,0,1,0,0,2.1,3.1,3.8,2.1,3.0,3.7,2.25,3.0,3.05,2.25,3.1,3.4
F1,06/08/11,Nancy,Lille,1,1,D,0,0,5,18,1,6,17.0,21.0,6,8,2,3,1,0,3.5,3.1,2.2,3.4,3.2,2.1,3.3,3.1,2.1,3.4,3.1,2.25
F1,06/08/11,Nice,Lyon,1,3,A,1,2,12,22,4,9,18.0,13.0,12,9,2,1,0,0,4.0,3.2,2.0,3.7,3.25,2.0,3.3,3.1,2.1,3.75,3.2,2.05
F1,06/08/11,Paris SG,Lorient,0,1,A,0,1,12,9,3,4,21.0,10.0,7,6,1,3,0,0,1.53,3.8,6.75,1.57,3.7,5.75,1.6,3.5,5.2,1.62,3.75,5.5
F1,07/08/11,Bordeaux,St Etienne,1,2,A,0,2,12,12,5,2,16.0,19.0,3,4,1,4,0,0,1.91,3.25,4.33,1.88,3.25,4.1,1.75,3.25,4.5,1.83,3.5,4.33
F1,07/08/11,Dijon,Rennes,1,5,A,1,2,18,15,5,7,18.0,16.0,9,3,3,2,0,0,2.88,3.0,2.63,2.95,2.95,2.5,2.75,3.1,2.4,2.9,3.1,2.5
F1,13/08/11,Lorient,Bordeaux,1,1,D,0,0,11,11,5,6,13.0,15.0,5,10,1,1,0,1,2.4,3.2,3.0,2.4,3.0,3.0,2.4,3.2,2.7,2.5,3.0,3.0
F1,13/08/11,Lyon,Ajaccio,1,1,D,0,0,25,7,8,2,15.0,17.0,13,1,1,3,0,0,1.3,5.0,11.0,1.26,5.25,10.5,1.25,5.0,10.0,1.3,5.0,11.0
F1,13/08/11,Rennes,Paris SG,1,1,D,0,0,11,8,4,4,15.0,21.0,3,3,2,2,0,0,2.7,3.1,2.7,2.65,3.1,2.65,2.5,3.2,2.6,2.7,3.1,2.7
F1,13/08/11,Sochaux,Caen,1,2,A,0,1,18,16,8,6,13.0,20.0,8,3,0,1,0,0,2.0,3.2,4.0,1.95,3.25,3.9,1.85,3.4,3.8,2.0,3.2,4.0
F1,13/08/11,St Etienne,Nancy,1,0,H,0,0,16,5,4,2,11.0,17.0,9,2,2,1,0,0,2.0,3.2,4.0,1.95,3.2,3.9,1.9,3.3,3.7,2.0,3.2,4.0
F1,13/08/11,Toulouse,Dijon,2,0,H,0,0,13,7,7,3,8.0,11.0,6,1,1,2,0,0,1.6,3.5,6.5,1.57,3.6,6.0,1.6,3.5,5.2,1.6,3.5,6.5
F1,13/08/11,Valenciennes,Brest,0,0,D,0,0,12,7,6,6,17.0,16.0,7,4,1,1,0,0,1.91,3.3,4.2,1.91,3.25,4.0,1.85,3.3,3.9,2.0,3.2,4.0
F1,14/08/11,Auxerre,Marseille,2,2,D,0,2,13,7,5,2,18.0,18.0,9,2,5,2,0,0,3.6,3.2,2.1,3.6,3.2,2.05,3.1,3.3,2.1,3.75,3.1,2.1
F1,14/08/11,Evian Thonon Gaillard,Nice,1,0,H,0,0,13,12,4,3,14.0,13.0,2,5,3,1,0,0,2.2,3.2,3.4,2.15,3.1,3.4,2.2,3.1,3.1,2.25,3.0,3.5
F1,14/08/11,Lille,Montpellier,0,1,A,0,0,20,9,6,3,10.0,22.0,7,0,3,2,0,0,1.62,3.6,6.0,1.6,3.75,5.25,1.55,3.7,5.4,1.6,3.5,6.5
F1,20/08/11,Ajaccio,Evian Thonon Gaillard,1,1,D,1,0,7,18,2,3,22.0,18.0,1,9,4,3,0,0,2.38,3.1,3.1,2.4,3.1,3.0,2.2,3.1,3.1,2.3,3.2,3.1
F1,20/08/11,Bordeaux,Auxerre,1,1,D,1,0,16,8,4,2,14.0,16.0,10,1,1,3,0,0,1.83,3.25,4.75,1.83,3.5,4.6,1.85,3.3,3.9,1.8,3.3,4.8
F1,20/08/11,Brest,Lyon,1,1,D,1,0,12,8,6,2,16.0,17.0,5,8,2,2,0,1,3.75,3.25,2.05,3.6,3.25,2.05,3.7,3.3,1.9,4.2,3.3,1.91
F1,20/08/11,Caen,Lille,1,2,A,0,0,6,19,2,10,18.0,17.0,0,7,1,2,0,0,3.6,3.25,2.1,3.4,3.3,2.2,3.4,3.2,2.0,3.8,3.2,2.05
F1,20/08/11,Dijon,Lorient,2,0,H,1,0,6,23,2,6,19.0,15.0,1,14,2,4,1,0,2.8,3.1,2.63,2.95,3.1,2.45,2.6,3.0,2.6,3.0,3.2,2.4
F1,20/08/11,Nice,Toulouse,1,1,D,1,0,12,8,3,3,14.0,16.0,3,1,3,2,0,1,2.6,3.0,2.88,2.6,3.0,2.85,2.3,3.1,2.9,2.62,3.1,2.75
F1,21/08/11,Marseille,St Etienne,0,0,D,0,0,18,4,4,1,11.0,17.0,9,3,1,3,0,1,1.53,3.75,7.0,1.55,3.9,6.0,1.5,3.8,5.7,1.5,4.0,7.0
F1,21/08/11,Montpellier,Rennes,4,0,H,1,0,13,7,7,1,21.0,14.0,4,1,4,3,0,0,2.6,3.0,2.9,2.4,3.1,3.2,2.3,3.2,2.8,2.4,3.3,2.9
F1,21/08/11,Nancy,Sochaux,1,2,A,0,0,12,8,4,3,18.0,17.0,4,4,2,1,0,1,2.25,3.1,3.4,2.2,3.1,3.4,2.2,3.1,3.1,2.3,3.2,3.2
F1,21/08/11,Paris SG,Valenciennes,2,1,H,1,1,16,10,4,4,10.0,14.0,3,0,0,2,0,0,1.5,4.0,7.0,1.5,3.8,7.25,1.5,3.8,5.7,1.5,4.0,7.0
F1,27/08/11,Auxerre,Ajaccio,4,1,H,1,0,22,4,9,1,5.0,15.0,10,2,1,4,0,0,1.8,3.3,4.75,1.78,3.25,5.0,1.75,3.3,4.4,1.83,3.1,5.0
F1,27/08/11,Evian Thonon Gaillard,Dijon,0,1,A,0,0,14,8,5,4,16.0,18.0,5,4,2,2,0,0,1.91,3.25,4.33,1.88,3.1,4.6,2.0,3.2,3.4,2.0,3.1,4.2
F1,27/08/11,Lorient,Nancy,2,1,H,0,1,20,8,7,2,10.0,17.0,10,1,3,2,0,0,1.91,3.2,4.33,1.91,3.2,4.25,1.85,3.4,3.8,2.0,3.1,4.2
F1,27/08/11,Lyon,Montpellier,2,1,H,0,0,11,18,4,8,14.0,13.0,5,7,4,3,0,1,1.5,4.0,7.0,1.62,3.8,5.75,1.45,3.9,6.5,1.57,3.5,7.0
F1,27/08/11,Nice,Brest,0,0,D,0,0,12,14,3,5,14.0,18.0,7,3,0,3,0,0,2.2,3.1,3.6,2.2,3.0,3.5,2.1,3.1,3.3,2.3,3.0,3.4
F1,27/08/11,Valenciennes,Bordeaux,1,2,A,1,0,11,10,3,5,22.0,17.0,4,4,2,3,0,0,2.6,3.0,2.9,2.65,2.95,3.0,2.6,3.0,2.6,2.7,3.1,2.7
