Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
E0,09/08/2019,Liverpool,Norwich,4,1,H,4,0,15,12,7,5,9,9,11,2,0,2,0,0,1.14,10.0,19.0,1.14,8.25,18.5,1.15,8.0,18.0,1.12,8.5,21.0
E0,10/08/2019,West Ham,Man City,0,5,A,0,1,5,14,3,9,6,13,1,1,2,2,0,0,12.0,6.5,1.22,11.5,5.75,1.26,11.0,6.1,1.25,13.0,6.0,1.24
E0,10/08/2019,Bournemouth,Sheffield United,1,1,D,0,0,13,8,3,3,10,19,3,4,2,1,0,0,1.95,3.6,3.6,1.95,3.6,3.9,1.97,3.55,3.8,2.0,3.5,3.8
E0,10/08/2019,Burnley,Southampton,3,0,H,0,0,10,11,4,3,6,12,2,7,0,0,0,0,2.62,3.2,2.75,2.65,3.2,2.75,2.65,3.2,2.75,2.7,3.2,2.75
E0,10/08/2019,Crystal Palace,Everton,0,0,D,0,0,6,10,2,3,16,14,6,2,2,1,0,1,3.0,3.25,2.37,3.2,3.2,2.35,3.1,3.2,2.4,3.1,3.3,2.35
E0,10/08/2019,Watford,Brighton,0,3,A,0,1,11,5,3,3,15,11,5,2,0,1,0,0,1.9,3.4,4.0,1.9,3.4,4.33,1.93,3.4,4.25,1.95,3.4,4.2
E0,10/08/2019,Tottenham,Aston Villa,3,1,H,0,1,31,7,7,4,13,9,14,0,1,0,0,0,1.3,5.25,10.0,1.3,5.5,10.0,1.3,5.5,9.6,1.29,5.5,10.0
E0,11/08/2019,Leicester,Wolves,0,0,D,0,0,15,8,1,2,3,13,12,3,0,2,0,0,2.2,3.2,3.4,2.25,3.3,3.3,2.2,3.25,3.45,2.2,3.25,3.5
E0,11/08/2019,Newcastle,Arsenal,0,1,A,0,0,9,8,2,2,12,7,5,3,1,3,0,0,4.5,3.75,1.72,4.5,3.75,1.78,4.4,3.85,1.77,4.5,3.75,1.78
E0,11/08/2019,Man United,Chelsea,4,0,H,1,0,11,18,5,7,15,13,3,5,3,4,0,0,2.1,3.3,3.5,2.15,3.3,3.5,2.15,3.35,3.4,2.15,3.3,3.5
E0,17/08/2019,Arsenal,Burnley,2,1,H,1,1,16,18,9,5,13,11,10,7,2,1,0,0,1.3,5.5,10.0,1.3,5.5,10.0,1.3,5.6,9.5,1.32,5.25,10.0
E0,17/08/2019,Aston Villa,Bournemouth,1,2,A,0,2,22,12,7,4,10,13,10,5,0,2,0,0,2.3,3.4,3.1,2.25,3.5,3.1,2.3,3.45,3.05,2.25,3.5,3.1
E0,17/08/2019,Brighton,West Ham,1,1,D,0,0,16,8,4,3,11,10,8,6,0,2,0,0,2.55,3.25,2.87,2.5,3.3,2.9,2.5,3.3,2.85,2.5,3.3,2.88
E0,17/08/2019,Everton,Watford,1,0,H,1,0,12,8,2,2,11,11,4,7,2,3,0,0,1.72,3.8,4.75,1.67,4.0,5.0,1.7,3.9,4.65,1.73,3.8,4.8
E0,17/08/2019,Norwich,Newcastle,3,1,H,1,0,15,10,8,3,9,11,7,5,1,3,0,0,2.25,3.3,3.3,2.25,3.3,3.3,2.2,3.35,3.35,2.15,3.4,3.4
E0,17/08/2019,Southampton,Liverpool,1,2,A,0,1,14,15,3,6,10,6,5,9,2,1,0,0,6.5,4.75,1.44,6.25,4.75,1.48,7.5,4.8,1.4,7.0,4.6,1.44
E0,17/08/2019,Man City,Tottenham,2,2,D,2,1,30,3,10,2,14,4,13,2,1,0,0,0,1.36,5.25,8.0,1.35,5.5,7.75,1.35,5.3,8.0,1.35,5.25,8.5
E0,18/08/2019,Sheffield United,Crystal Palace,1,0,H,0,0,15,6,3,4,16,11,8,4,3,1,0,0,2.55,3.1,2.9,2.55,3.2,2.9,2.55,3.1,2.95,2.55,3.2,2.9
E0,18/08/2019,Chelsea,Leicester,1,1,D,1,0,14,12,5,3,9,14,4,5,1,0,0,0,1.7,3.75,5.0,1.72,3.7,5.0,1.73,3.75,4.9,1.7,3.7,5.25
E0,19/08/2019,Wolves,Man United,1,1,D,0,1,6,9,2,2,17,8,4,6,2,2,0,0,3.3,3.3,2.25,3.3,3.25,2.3,3.25,3.3,2.25,3.3,3.25,2.3
E0,23/08/2019,Aston Villa,Everton,2,0,H,1,0,7,12,3,1,10,18,0,6,2,3,0,0,3.25,3.5,2.15,3.1,3.5,2.25,3.1,3.5,2.25,3.1,3.5,2.25
E0,24/08/2019,Norwich,Chelsea,2,3,A,2,2,6,23,5,8,9,9,1,8,1,1,0,0,4.33,3.75,1.8,4.33,3.8,1.8,4.05,3.95,1.8,4.2,3.9,1.8
E0,24/08/2019,Brighton,Southampton,0,2,A,0,0,12,12,3,4,9,10,8,5,1,3,1,0,2.4,3.3,3.0,2.4,3.2,3.1,2.4,3.25,3.05,2.4,3.2,3.1
E0,24/08/2019,Man United,Crystal Palace,1,2,A,0,1,22,5,3,3,8,18,8,1,2,4,0,0,1.33,5.25,9.0,1.36,5.0,8.5,1.36,4.95,8.6,1.33,5.0,10.0
E0,24/08/2019,Sheffield United,Leicester,1,2,A,0,1,8,10,3,2,11,6,7,4,1,0,0,0,3.3,3.3,2.25,3.5,3.2,2.2,3.4,3.15,2.25,3.5,3.2,2.2
E0,24/08/2019,Watford,West Ham,1,3,A,1,1,23,16,3,10,12,11,8,7,1,1,0,0,2.05,3.5,3.5,2.1,3.6,3.4,2.1,3.6,3.4,2.1,3.5,3.5
E0,24/08/2019,Liverpool,Arsenal,3,1,H,1,0,25,9,5,3,8,5,6,4,1,1,0,0,1.5,4.6,6.0,1.48,4.75,6.0,1.5,4.7,5.7,1.47,4.75,6.5
E0,25/08/2019,Bournemouth,Man City,1,3,A,1,2,10,19,7,5,7,13,4,5,1,3,0,0,15.0,7.5,1.16,13.5,7.0,1.2,15.0,6.5,1.2,15.0,7.5,1.18
E0,25/08/2019,Tottenham,Newcastle,0,1,A,0,1,17,8,2,3,10,5,6,6,2,2,0,0,1.2,6.5,14.0,1.22,6.5,13.5,1.22,6.2,13.5,1.24,6.0,13.0
E0,25/08/2019,Wolves,Burnley,1,1,D,0,1,17,13,2,4,9,11,4,3,0,2,0,0,1.85,3.4,4.5,1.83,3.5,4.6,1.85,3.4,4.7,1.83,3.4,4.8
