Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA
I1,30/08/14,Chievo,Juventus,0,1,A,0,1,7,21,2,3,13,14,4,11,2.0,1,0,0,7.0,4.0,1.5,6.0,3.9,1.55,5.6,3.9,1.55,6.0,4.0,1.55
I1,30/08/14,Roma,Fiorentina,2,0,H,1,0,20,10,5,4,15,17,2,0,4.0,4,0,0,1.67,3.8,5.0,1.75,3.65,4.5,1.7,3.6,4.7,1.75,3.6,4.75
I1,31/08/14,Atalanta,Verona,0,0,D,0,0,11,9,1,3,17,16,6,2,2.0,3,0,0,2.05,3.4,3.6,2.1,3.2,3.6,2.1,3.3,3.3,2.15,3.25,3.5
I1,31/08/14,Cesena,Parma,1,0,H,1,0,9,12,5,1,10,19,4,7,2.0,1,0,0,3.1,3.2,2.35,3.0,3.1,2.4,2.85,3.2,2.4,3.1,3.1,2.4
I1,31/08/14,Genoa,Napoli,1,2,A,1,1,11,15,5,5,10,10,7,5,3.0,1,0,0,3.9,3.4,1.95,3.5,3.4,2.05,3.3,3.3,2.1,3.6,3.4,2.05
I1,31/08/14,Milan,Lazio,3,1,H,1,0,7,19,4,4,10,20,0,10,2.0,3,0,0,2.0,3.4,3.75,2.0,3.4,3.65,2.0,3.3,3.6,1.91,3.5,4.0
I1,31/08/14,Palermo,Sampdoria,1,1,D,1,0,8,10,1,3,15,18,1,7,1.0,2,0,1,2.2,3.25,3.3,2.25,3.2,3.2,2.1,3.3,3.3,2.2,3.2,3.4
I1,31/08/14,Sassuolo,Cagliari,1,1,D,1,1,13,10,5,4,22,26,4,4,3.0,2,0,0,2.3,3.4,3.0,2.3,3.4,2.95,2.3,3.3,2.9,2.38,3.4,2.9
I1,31/08/14,Torino,Inter,0,0,D,0,0,11,14,2,2,9,10,6,10,1.0,1,0,1,3.1,3.3,2.3,3.0,3.3,2.3,2.75,3.3,2.4,3.1,3.3,2.3
I1,31/08/14,Udinese,Empoli,2,0,H,0,0,15,13,5,2,10,9,3,9,2.0,2,0,0,1.8,3.5,4.5,1.83,3.5,4.25,1.8,3.5,4.2,1.83,3.5,4.4
I1,13/09/14,Empoli,Roma,0,1,A,0,1,17,5,3,2,4,10,7,0,0.0,1,0,0,5.5,3.75,1.62,6.0,3.9,1.62,5.4,3.7,1.6,6.0,3.8,1.57
I1,13/09/14,Juventus,Udinese,2,0,H,1,0,18,9,7,1,13,14,4,6,0.0,1,0,0,1.4,4.5,8.0,1.45,4.33,8.25,1.4,4.4,7.3,1.4,4.5,8.0
I1,14/09/14,Cagliari,Atalanta,1,2,A,0,1,19,7,9,3,14,21,7,7,4.0,4,0,0,2.25,3.4,3.1,2.3,3.2,3.1,2.2,3.2,3.2,2.3,3.2,3.2
I1,14/09/14,Fiorentina,Genoa,0,0,D,0,0,22,6,7,1,13,18,12,3,1.0,3,0,1,1.57,3.8,6.0,1.62,4.1,5.5,1.6,3.7,5.4,1.6,3.6,6.0
I1,14/09/14,Inter,Sassuolo,7,0,H,4,0,22,14,11,2,16,12,6,1,0.0,1,0,1,1.44,4.33,7.0,1.5,3.85,7.0,1.4,4.4,7.3,1.5,4.0,7.0
I1,14/09/14,Lazio,Cesena,3,0,H,1,0,17,7,6,1,26,10,7,1,3.0,1,0,0,1.33,5.0,9.0,1.35,4.5,9.5,1.4,4.4,7.3,1.36,4.5,9.0
I1,14/09/14,Napoli,Chievo,0,1,A,0,0,33,8,9,1,14,12,15,2,2.0,2,0,0,1.36,4.75,8.0,1.4,4.5,7.5,1.35,4.8,7.6,1.36,4.5,9.0
I1,14/09/14,Parma,Milan,4,5,A,1,3,11,11,3,7,24,12,5,4,3.0,1,1,1,2.7,3.2,2.6,2.9,3.4,2.5,2.65,3.3,2.5,2.8,3.1,2.62
I1,14/09/14,Sampdoria,Torino,2,0,H,1,0,8,10,4,0,18,17,3,5,3.0,4,0,0,2.4,3.1,3.1,2.55,3.2,2.95,2.3,3.2,3.0,2.5,3.0,3.0
